Latitude,Longitude,Voivodeship
51.1302839,15.9274443,Dolnośląskie
54.6626906,17.0511085,Pomorskie
52.8825015,16.1694915,Wielkopolskie
52.8791113,16.3810009,Wielkopolskie
53.7407378,16.3550181,Zachodniopomorskie
51.2763751,20.4378843,Świętokrzyskie
53.0918903,18.1317296,Kujawsko-pomorskie
52.7764111,15.2302718,Lubuskie
53.0046445,14.9757778,Zachodniopomorskie
52.3614488,16.5273691,Wielkopolskie
53.1996659,16.1610389,Zachodniopomorskie
52.8870842,16.980823,Wielkopolskie
51.9764698,15.4861898,Lubuskie
53.4133403,17.145134,Wielkopolskie
51.3654752,19.4074752,Łódzkie
52.3245528,17.5944017,Wielkopolskie
50.4675168,19.0408959,Śląskie
53.352211,17.4739156,Kujawsko-pomorskie
51.5240145,20.0078317,Łódzkie
52.445347,15.6079026,Lubuskie
52.2410209,15.9296861,Wielkopolskie
52.3436254,14.8379837,Lubuskie
51.536327,14.7412375,Lubuskie
52.7691452,17.7585516,Kujawsko-pomorskie
52.3643491,17.4125084,Wielkopolskie
51.3545507,20.6306719,Mazowieckie
51.5092563,20.7173525,Mazowieckie
51.9913739,15.5610187,Lubuskie
53.4374742,15.5512201,Zachodniopomorskie
53.4681307,16.6049456,Wielkopolskie
50.9660763,19.4631358,Łódzkie
53.1979512,19.637076,Kujawsko-pomorskie
51.0853152,19.4524937,Łódzkie
53.5389289,17.2359775,Pomorskie
50.1385421,18.7679024,Śląskie
52.0765689,19.6596734,Łódzkie
52.1333205,16.0125178,Wielkopolskie
52.3636865,16.3194229,Wielkopolskie
52.4678686,17.6902801,Wielkopolskie
51.9255078,15.8998611,Lubuskie
52.3362733,18.9004469,Wielkopolskie
51.6608531,17.8145224,Wielkopolskie
52.2636237,15.6880666,Lubuskie
52.9499097,17.9129711,Kujawsko-pomorskie
52.306337,17.5724464,Wielkopolskie
52.0765876,16.6364195,Wielkopolskie
51.6329483,15.8883952,Dolnośląskie
52.0734964,16.9793982,Wielkopolskie
50.4476368,20.5894791,Świętokrzyskie
49.7940676,18.6061324,Śląskie
51.9362054,15.589425,Lubuskie
52.2116685,17.8127266,Wielkopolskie
51.5613892,19.3910417,Łódzkie
50.3842666,16.6282025,Dolnośląskie
50.858105,20.4981503,Świętokrzyskie
50.0407779,18.2919669,Śląskie
52.9043811,18.1392789,Kujawsko-pomorskie
52.5907017,17.2567851,Wielkopolskie
52.6712262,17.1481183,Wielkopolskie
53.1080323,17.124974,Wielkopolskie
52.5526818,17.6036511,Wielkopolskie
52.2896687,16.9777308,Wielkopolskie
52.4849882,16.7796755,Wielkopolskie
52.6429673,16.8057632,Wielkopolskie
52.814396,16.8373751,Wielkopolskie
52.3451696,17.5642067,Wielkopolskie
52.8473542,17.7462232,Kujawsko-pomorskie
52.5136844,17.4645638,Wielkopolskie
51.6631921,17.7999249,Wielkopolskie
50.615851,16.4814027,Dolnośląskie
52.6951716,16.3867126,Wielkopolskie
54.2573755,16.0534226,Zachodniopomorskie
53.3224874,18.5031558,Kujawsko-pomorskie
52.0717808,17.5103872,Wielkopolskie
51.0726105,17.7161281,Opolskie
53.0597301,16.728842,Wielkopolskie
52.107825,16.6922017,Wielkopolskie
50.3715302,18.8514824,Śląskie
50.1129145,19.043066,Śląskie
51.4004055,15.1773988,Dolnośląskie
52.1898665,18.4313536,Wielkopolskie
52.9706976,15.7538073,Lubuskie
51.8557382,16.6066386,Wielkopolskie
51.8560564,16.5555869,Wielkopolskie
49.9144028,18.7521154,Śląskie
51.9296043,15.6494198,Lubuskie
54.4755309,18.3762334,Pomorskie
49.9224362,18.4796457,Śląskie
50.3147779,19.2897204,Śląskie
51.6359751,17.9566865,Wielkopolskie
51.6355876,17.7289138,Wielkopolskie
50.8709638,15.7543775,Dolnośląskie
54.2896863,18.2193959,Pomorskie
49.7116649,19.2706976,Śląskie
51.260287,16.1586465,Dolnośląskie
53.1807266,17.0931614,Wielkopolskie
52.9608574,14.4227051,Zachodniopomorskie
52.88162,14.2100106,Zachodniopomorskie
51.1360898,21.7597646,Mazowieckie
53.127483,20.3424435,Mazowieckie
51.2592258,18.3245788,Łódzkie
50.2844597,18.2024443,Opolskie
52.1023926,16.6405781,Wielkopolskie
51.9778941,16.9370027,Wielkopolskie
52.0340615,16.6018813,Wielkopolskie
52.1447629,20.7131171,Mazowieckie
52.2687555,20.1649142,Mazowieckie
49.9876397,18.4276884,Śląskie
51.3308361,19.3794797,Łódzkie
51.9595219,16.336291,Wielkopolskie
51.3805715,20.9701501,Mazowieckie
52.3389739,16.8336864,Wielkopolskie
51.6727787,14.8289589,Lubuskie
49.6912571,19.1469866,Śląskie
49.9702315,18.5031247,Śląskie
52.1806515,20.8668456,Mazowieckie
51.3892252,17.4829669,Dolnośląskie
54.0176391,14.7412362,Zachodniopomorskie
51.4236908,19.6473842,Łódzkie
51.6464369,21.0868624,Mazowieckie
53.7781596,15.7765838,Zachodniopomorskie
50.674099,16.9115497,Dolnośląskie
52.8636245,18.1403712,Kujawsko-pomorskie
50.6871951,18.6711063,Śląskie
50.0461808,18.4545091,Śląskie
53.0024629,17.7177539,Kujawsko-pomorskie
51.7094774,17.4392057,Wielkopolskie
51.6011626,18.7895324,Łódzkie
51.8075873,16.3095459,Lubuskie
52.3713098,19.9261821,Mazowieckie
52.3671428,19.6109692,Mazowieckie
52.2642012,19.8716006,Łódzkie
52.2221575,20.0186909,Łódzkie
52.2347471,20.2076418,Mazowieckie
52.4567619,20.1019149,Mazowieckie
52.5437915,20.1134425,Mazowieckie
52.9116104,15.021627,Zachodniopomorskie
52.162542,16.4573583,Wielkopolskie
50.4304723,18.8705635,Śląskie
53.2200766,16.8699975,Wielkopolskie
53.4194168,16.8210129,Wielkopolskie
53.1602781,17.4416969,Kujawsko-pomorskie
51.327339,21.4406097,Mazowieckie
51.1245068,21.4495141,Mazowieckie
53.3741858,14.4712103,Zachodniopomorskie
52.5055867,16.2708627,Wielkopolskie
52.0272611,20.0562272,Łódzkie
50.7676721,19.8518787,Świętokrzyskie
53.2345866,19.3894236,Kujawsko-pomorskie
51.4998744,19.8316401,Łódzkie
51.0562435,16.8884964,Dolnośląskie
51.0467186,16.6045522,Dolnośląskie
50.9310344,17.1775703,Dolnośląskie
52.8614345,16.0895045,Wielkopolskie
52.2487908,16.6131142,Wielkopolskie
53.0585819,19.9122731,Mazowieckie
54.6956929,18.2349898,Pomorskie
52.0525649,20.4357174,Mazowieckie
52.3040829,19.157868,Łódzkie
51.5313743,17.9835798,Wielkopolskie
52.8374395,19.172116,Kujawsko-pomorskie
51.6856518,17.9361901,Wielkopolskie
50.9212379,21.361109,Świętokrzyskie
52.1061094,19.9139926,Łódzkie
53.0362304,16.4581396,Wielkopolskie
53.0384053,16.4518011,Wielkopolskie
54.3264668,19.1092906,Pomorskie
52.0541805,19.1756337,Łódzkie
51.7902808,15.7223057,Lubuskie
50.5360703,17.5660059,Opolskie
51.8487601,16.5386781,Wielkopolskie
52.0093967,15.1533565,Lubuskie
50.575836,16.6718914,Dolnośląskie
50.0838877,19.3448088,Małopolskie
50.7309402,17.8958767,Opolskie
50.2690656,18.5421601,Śląskie
51.2979314,16.9247966,Dolnośląskie
49.9923981,18.6335531,Śląskie
51.8820394,15.4735699,Lubuskie
52.8021426,17.2254215,Wielkopolskie
51.0626751,16.1810503,Dolnośląskie
51.388433,15.6004839,Dolnośląskie
52.2507673,19.170886,Łódzkie
51.5755812,17.6386767,Wielkopolskie
52.6710436,20.7651547,Mazowieckie
53.7539145,14.778983,Zachodniopomorskie
